Date,Close,Open,High,Low,Volume,Change
2013-02-20,12268.0,12110.0,12268.0,11874.0,734200.0,0.006500000000000001
2013-02-21,11638.0,12110.0,12346.0,11638.0,1240000.0,-0.051399999999999994
2013-02-22,12032.0,11717.0,12110.0,11638.0,1100000.0,0.0339
2013-02-25,12032.0,12032.0,12110.0,11953.0,684800.0,0.0
2013-02-26,11717.0,12032.0,12032.0,11560.0,1010000.0,-0.0262
2013-02-27,12032.0,11717.0,12110.0,11560.0,734500.0,0.0269
2013-02-28,12032.0,12110.0,12110.0,12032.0,857100.0,0.0
2013-03-01,12189.0,11874.0,12189.0,11874.0,848700.0,0.013000000000000001
2013-03-04,12032.0,12110.0,12189.0,11953.0,896700.0,-0.0129
2013-03-05,11874.0,11874.0,12032.0,11796.0,756600.0,-0.0131
2013-03-06,11874.0,11953.0,12032.0,11796.0,344500.0,0.0
2013-03-07,11796.0,11953.0,11953.0,11796.0,415000.0,-0.0066
2013-03-08,11953.0,11874.0,12032.0,11874.0,233400.0,0.013300000000000001
2013-03-11,11324.0,11953.0,11953.0,11009.0,4120000.0,-0.0526
2013-03-12,11717.0,11324.0,11717.0,11167.0,3020000.0,0.0347
2013-03-13,11403.0,11560.0,11560.0,11245.0,3010000.0,-0.0268
2013-03-14,11481.0,11324.0,11560.0,11324.0,2100000.0,0.0068000000000000005
2013-03-15,11560.0,11560.0,11638.0,11324.0,4470000.0,0.0069
2013-03-18,11324.0,11481.0,11481.0,11324.0,942800.0,-0.0204
2013-03-19,11245.0,11324.0,11403.0,11245.0,770300.0,-0.006999999999999999
2013-03-20,11324.0,11324.0,11403.0,11245.0,1010000.0,0.006999999999999999
2013-03-21,11324.0,11403.0,11403.0,11324.0,1400000.0,0.0
2013-03-22,11245.0,11403.0,11403.0,11167.0,962300.0,-0.006999999999999999
2013-03-25,11245.0,11167.0,11245.0,11167.0,549000.0,0.0
2013-03-26,11324.0,11324.0,11324.0,11245.0,505900.0,0.006999999999999999
2013-03-27,11245.0,11324.0,11324.0,11167.0,433800.0,-0.006999999999999999
2013-03-28,11167.0,11167.0,11245.0,11167.0,469200.0,-0.0069
2013-03-29,11167.0,11245.0,11245.0,10931.0,651400.0,0.0
2013-04-01,11167.0,11245.0,11324.0,11009.0,620300.0,0.0
2013-04-02,11167.0,11245.0,11324.0,11167.0,481100.0,0.0
2013-04-03,11167.0,11245.0,11324.0,11088.0,417600.0,0.0
2013-04-04,10931.0,11009.0,11088.0,10931.0,871700.0,-0.021099999999999997
2013-04-05,11245.0,10931.0,11324.0,10773.0,483800.0,0.0287
2013-04-08,11324.0,11245.0,11324.0,11088.0,416300.0,0.006999999999999999
2013-04-09,11324.0,11245.0,11403.0,11167.0,515600.0,0.0
2013-04-10,11088.0,11324.0,11324.0,11009.0,605400.0,-0.0208
2013-04-11,11009.0,11009.0,11088.0,10931.0,816400.0,-0.0070999999999999995
2013-04-12,10931.0,10931.0,11088.0,10852.0,812500.0,-0.0070999999999999995
2013-04-15,10695.0,10852.0,11009.0,10695.0,670200.0,-0.0216
2013-04-16,10773.0,10538.0,10852.0,10223.0,554500.0,0.0073
2013-04-17,10695.0,10773.0,10773.0,10616.0,213400.0,-0.0072
2013-04-18,10616.0,10695.0,10852.0,10538.0,692800.0,-0.0074
2013-04-22,10380.0,10616.0,10695.0,10380.0,472600.0,-0.0222
2013-04-23,10380.0,10459.0,10538.0,10302.0,385700.0,0.0
2013-04-24,10380.0,10380.0,10459.0,10380.0,336600.0,0.0
2013-04-25,10459.0,10380.0,10538.0,10380.0,136100.0,0.0076
2013-04-26,10380.0,10459.0,10538.0,10380.0,164600.0,-0.0076
2013-05-02,10459.0,10538.0,10538.0,10380.0,163800.0,0.0076
2013-05-03,10695.0,10459.0,10773.0,10459.0,580400.0,0.0226
2013-05-06,11088.0,10773.0,11088.0,10773.0,699700.0,0.036699999999999997
2013-05-07,10852.0,11088.0,11167.0,10852.0,197700.0,-0.0213
2013-05-08,10931.0,10852.0,11009.0,10852.0,525700.0,0.0073
2013-05-09,11009.0,10931.0,11009.0,10852.0,294700.0,0.0070999999999999995
2013-05-10,11009.0,11009.0,11009.0,10852.0,255300.0,0.0
2013-05-13,11009.0,10931.0,11088.0,10931.0,210400.0,0.0
2013-05-14,10931.0,11009.0,11088.0,10852.0,575100.0,-0.0070999999999999995
2013-05-15,11009.0,10852.0,11009.0,10773.0,189400.0,0.0070999999999999995
2013-05-16,11009.0,10931.0,11088.0,10931.0,235400.0,0.0
2013-05-17,11167.0,11009.0,11167.0,11009.0,687500.0,0.0144
2013-05-20,11324.0,11088.0,11403.0,11088.0,762200.0,0.0141
2013-05-21,11481.0,11403.0,11560.0,11324.0,1150000.0,0.0139
2013-05-22,11874.0,11481.0,12032.0,11403.0,3160000.0,0.0342
2013-05-23,11638.0,11874.0,11953.0,11560.0,1420000.0,-0.0199
2013-05-24,11874.0,11638.0,11874.0,11560.0,1050000.0,0.0203
2013-05-27,12110.0,11874.0,12425.0,11796.0,3130000.0,0.0199
2013-05-28,12346.0,12189.0,12346.0,12032.0,1830000.0,0.0195
2013-05-29,12975.0,12268.0,13211.0,12268.0,6560000.0,0.0509
2013-05-30,13211.0,12346.0,13211.0,12189.0,2220000.0,0.0182
2013-05-31,13211.0,13290.0,13683.0,13054.0,2550000.0,0.0
2013-06-03,12975.0,13133.0,13211.0,12897.0,2170000.0,-0.0179
2013-06-04,12582.0,12975.0,13054.0,12503.0,2120000.0,-0.030299999999999997
2013-06-05,12897.0,12582.0,12975.0,12503.0,1750000.0,0.025
2013-06-06,13526.0,12897.0,13526.0,12897.0,3490000.0,0.048799999999999996
2013-06-07,13919.0,13447.0,13919.0,13369.0,3660000.0,0.0291
